Probabilities:
Mile Number: 1, Probability: 3.6366178509716907e-05, Refund 119.997, Cost 5.314547209027631e-06
Mile Number: 2, Probability: 3.6366178509716907e-05, Refund 119.994, Cost 5.317829266144547e-06
Mile Number: 3, Probability: 3.6366178509716907e-05, Refund 119.991, Cost 5.321113277314216e-06
Mile Number: 4, Probability: 3.6366178509716907e-05, Refund 119.988, Cost 5.3243992357165925e-06
Mile Number: 5, Probability: 3.6366178509716907e-05, Refund 119.985, Cost 5.327687154513816e-06
Mile Number: 6, Probability: 3.6366178509716907e-05, Refund 119.982, Cost 5.330977033546014e-06
Mile Number: 7, Probability: 3.6366178509716907e-05, Refund 119.979, Cost 5.334268872653314e-06
Mile Number: 8, Probability: 3.6366178509716907e-05, Refund 119.976, Cost 5.337562665015838e-06
Mile Number: 9, Probability: 3.6366178509716907e-05, Refund 119.973, Cost 5.340858417134053e-06
Mile Number: 10, Probability: 3.6366178509716907e-05, Refund 119.97, Cost 5.34415613550776e-06
Mile Number: 11, Probability: 3.6366178509716907e-05, Refund 119.967, Cost 5.3474558133170814e-06
Mile Number: 12, Probability: 3.6366178509716907e-05, Refund 119.964, Cost 5.350757457061483e-06
Mile Number: 13, Probability: 3.6366178509716907e-05, Refund 119.961, Cost 5.3540610665805955e-06
Mile Number: 14, Probability: 3.6366178509716907e-05, Refund 119.958, Cost 5.3573666350550384e-06
Mile Number: 15, Probability: 3.6366178509716907e-05, Refund 119.955, Cost 5.360674175642621e-06
Mile Number: 16, Probability: 3.6366178509716907e-05, Refund 119.952, Cost 5.363983688182472e-06
Mile Number: 17, Probability: 3.6366178509716907e-05, Refund 119.949, Cost 5.367295165855212e-06
Mile Number: 18, Probability: 3.6366178509716907e-05, Refund 119.946, Cost 5.370608615158811e-06
Mile Number: 19, Probability: 3.6366178509716907e-05, Refund 119.943, Cost 5.373924035932398e-06
Mile Number: 20, Probability: 3.6366178509716907e-05, Refund 119.94, Cost 5.3772414280151e-06
Mile Number: 21, Probability: 3.6366178509716907e-05, Refund 119.937, Cost 5.380560791246047e-06
Mile Number: 22, Probability: 3.6366178509716907e-05, Refund 119.934, Cost 5.383882138779716e-06
Mile Number: 23, Probability: 3.6366178509716907e-05, Refund 119.931, Cost 5.387205457139221e-06
Mile Number: 24, Probability: 3.6366178509716907e-05, Refund 119.928, Cost 5.3905307528210325e-06
Mile Number: 25, Probability: 3.6366178509716907e-05, Refund 119.925, Cost 5.393858025663778e-06
