Probabilities:
Number: 1, Probability: 4.428900063357943e-06, Refund 119.997, Cost 0.0005314547209027632
Number: 2, Probability: 4.431745975752577e-06, Refund 119.994, Cost 0.0005317829266144547
Number: 3, Probability: 4.4345936589529344e-06, Refund 119.991, Cost 0.0005321113277314216
Number: 4, Probability: 4.437443107407901e-06, Refund 119.988, Cost 0.0005324399235716593
Number: 5, Probability: 4.4402943322197075e-06, Refund 119.985, Cost 0.0005327687154513816
Number: 6, Probability: 4.443147333388353e-06, Refund 119.982, Cost 0.0005330977033546014
Number: 7, Probability: 4.446002110913838e-06, Refund 119.979, Cost 0.0005334268872653313
Number: 8, Probability: 4.448858659245047e-06, Refund 119.976, Cost 0.0005337562665015839
Number: 9, Probability: 4.451716983933096e-06, Refund 119.973, Cost 0.0005340858417134054
Number: 10, Probability: 4.454577090529099e-06, Refund 119.97, Cost 0.000534415613550776
Number: 11, Probability: 4.457438973481942e-06, Refund 119.967, Cost 0.0005347455813317081
Number: 12, Probability: 4.460302638342739e-06, Refund 119.964, Cost 0.0005350757457061484
Number: 13, Probability: 4.463168085111491e-06, Refund 119.961, Cost 0.0005354061066580595
Number: 14, Probability: 4.466035308237082e-06, Refund 119.958, Cost 0.0005357366635055039
Number: 15, Probability: 4.4689043188217425e-06, Refund 119.955, Cost 0.0005360674175642621
Number: 16, Probability: 4.471775116865473e-06, Refund 119.952, Cost 0.0005363983688182472
Number: 17, Probability: 4.474647696817158e-06, Refund 119.949, Cost 0.0005367295165855212
Number: 18, Probability: 4.477522064227912e-06, Refund 119.946, Cost 0.0005370608615158812
Number: 19, Probability: 4.4803982190977365e-06, Refund 119.943, Cost 0.0005373924035932398
Number: 20, Probability: 4.48327616142663e-06, Refund 119.94, Cost 0.00053772414280151
Number: 21, Probability: 4.486155891214594e-06, Refund 119.937, Cost 0.0005380560791246047
Number: 22, Probability: 4.489037419563857e-06, Refund 119.934, Cost 0.0005383882138779716
Number: 23, Probability: 4.49192073537219e-06, Refund 119.931, Cost 0.0005387205457139221
Number: 24, Probability: 4.494805844190708e-06, Refund 119.928, Cost 0.0005390530752821032
Number: 25, Probability: 4.4976927460194105e-06, Refund 119.925, Cost 0.0005393858025663778
Number: 26, Probability: 4.500581440858298e-06, Refund 119.922, Cost 0.0005397187275506087
Number: 27, Probability: 4.503471934258485e-06, Refund 119.919, Cost 0.0005400518508843433
Number: 28, Probability: 4.506364226219972e-06, Refund 119.916, Cost 0.0005403851725513942
Number: 29, Probability: 4.509258316742759e-06, Refund 119.913, Cost 0.0005407186925355745
Number: 30, Probability: 4.512154205826846e-06, Refund 119.91, Cost 0.0005410524108206971
Number: 31, Probability: 4.515051893472233e-06, Refund 119.907, Cost 0.000541386327390575
Number: 32, Probability: 4.517951385230035e-06, Refund 119.904, Cost 0.000541720442894622
Number: 33, Probability: 4.520852681100251e-06, Refund 119.901, Cost 0.0005420547573166012
Number: 34, Probability: 4.523755775531768e-06, Refund 119.898, Cost 0.000542389269974708
Number: 35, Probability: 4.526660679626815e-06, Refund 119.895, Cost 0.000542723982183857
Number: 36, Probability: 4.529567387834277e-06, Refund 119.892, Cost 0.0005430588932622271
Number: 37, Probability: 4.532475905705269e-06, Refund 119.889, Cost 0.0005433940038590989
Number: 38, Probability: 4.535386227688676e-06, Refund 119.886, Cost 0.0005437293132926846
Number: 39, Probability: 4.538298359335613e-06, Refund 119.883, Cost 0.0005440648222122313
Number: 40, Probability: 4.54121230064608e-06, Refund 119.88, Cost 0.0005444005306014521
Number: 41, Probability: 4.544128057171193e-06, Refund 119.877, Cost 0.0005447364391095111
Number: 42, Probability: 4.5470456233598355e-06, Refund 119.874, Cost 0.0005450725470546369
Number: 43, Probability: 4.5499650047631235e-06, Refund 119.871, Cost 0.0005454088550859603
Number: 44, Probability: 4.552886195829942e-06, Refund 119.868, Cost 0.0005457453625217435
Number: 45, Probability: 4.55580920766252e-06, Refund 119.865, Cost 0.000546082070676468
Number: 46, Probability: 4.558734034709744e-06, Refund 119.862, Cost 0.0005464189788683793
Number: 47, Probability: 4.561660682522728e-06, Refund 119.859, Cost 0.0005467560877464916
Number: 48, Probability: 4.564589145550357e-06, Refund 119.856, Cost 0.0005470933966290836
Number: 49, Probability: 4.567519429343747e-06, Refund 119.853, Cost 0.0005474309061651361
Number: 50, Probability: 4.570451533902897e-06, Refund 119.85, Cost 0.0005477686163382622
Number: 51, Probability: 4.573385459227808e-06, Refund 119.847, Cost 0.0005481065271320751
Number: 52, Probability: 4.576321210869594e-06, Refund 119.844, Cost 0.0005484446391954556
Number: 53, Probability: 4.5792587888282554e-06, Refund 119.841, Cost 0.0005487829525119669
Number: 54, Probability: 4.582198187552677e-06, Refund 119.838, Cost 0.0005491214663999377
Number: 55, Probability: 4.585139412593975e-06, Refund 119.835, Cost 0.000549460181508199
Number: 56, Probability: 4.588082469503263e-06, Refund 119.832, Cost 0.000549799098485515
Number: 57, Probability: 4.5910273527294265e-06, Refund 119.829, Cost 0.0005501382166502144
Number: 58, Probability: 4.593974067823581e-06, Refund 119.826, Cost 0.0005504775366510284
Number: 59, Probability: 4.5969226092346105e-06, Refund 119.823, Cost 0.0005508170578063188
Number: 60, Probability: 4.599872988064746e-06, Refund 119.82, Cost 0.0005511567814299179
Number: 61, Probability: 4.602825198762872e-06, Refund 119.817, Cost 0.000551496706840171
Number: 62, Probability: 4.605779241328989e-06, Refund 119.814, Cost 0.0005518368340205914
Number: 63, Probability: 4.608735121314211e-06, Refund 119.811, Cost 0.000552177163619777
Number: 64, Probability: 4.61169283871854e-06, Refund 119.808, Cost 0.0005525176956211908
Number: 65, Probability: 4.6146523879908585e-06, Refund 119.805, Cost 0.0005528584293432448
Number: 66, Probability: 4.617613780233398e-06, Refund 119.802, Cost 0.0005531993660995216
Number: 67, Probability: 4.620577015446159e-06, Refund 119.799, Cost 0.0005535405058734344
Number: 68, Probability: 4.623542088078025e-06, Refund 119.796, Cost 0.0005538818479833952
Number: 69, Probability: 4.626509003680113e-06, Refund 119.793, Cost 0.0005542233930778518
Number: 70, Probability: 4.629477762252421e-06, Refund 119.79, Cost 0.0005545651411402175
Number: 71, Probability: 4.63244836379495e-06, Refund 119.787, Cost 0.0005549070921539057
Number: 72, Probability: 4.6354208083077e-06, Refund 119.784, Cost 0.0005552492461023296
Number: 73, Probability: 4.638395101341786e-06, Refund 119.781, Cost 0.0005555916036338205
Number: 74, Probability: 4.641371242897208e-06, Refund 119.778, Cost 0.0005559341647317417
Number: 75, Probability: 4.6443492329739655e-06, Refund 119.775, Cost 0.0005562769293794567
Number: 76, Probability: 4.6473290771231746e-06, Refund 119.772, Cost 0.0005566198982251969
Number: 77, Probability: 4.6503107642426045e-06, Refund 119.769, Cost 0.0005569630699225726
Number: 78, Probability: 4.653294310985601e-06, Refund 119.766, Cost 0.0005573064464495014
Number: 79, Probability: 4.656279706249933e-06, Refund 119.763, Cost 0.0005576500264596107
Number: 80, Probability: 4.659266955586716e-06, Refund 119.76, Cost 0.0005579938106010651
Number: 81, Probability: 4.6622560589959505e-06, Refund 119.757, Cost 0.0005583377988571781
Number: 82, Probability: 4.665247022028751e-06, Refund 119.754, Cost 0.0005586819918760311
Number: 83, Probability: 4.668239839134003e-06, Refund 119.751, Cost 0.000559026388976136
Number: 84, Probability: 4.671234515862821e-06, Refund 119.748, Cost 0.0005593709908055411
Number: 85, Probability: 4.67423105776632e-06, Refund 119.745, Cost 0.000559715798012228
Number: 86, Probability: 4.677229453742271e-06, Refund 119.742, Cost 0.000560060809250007
Number: 87, Probability: 4.680229714892903e-06, Refund 119.739, Cost 0.0005604060258315613
Number: 88, Probability: 4.683231835667101e-06, Refund 119.736, Cost 0.000560751447075436
Number: 89, Probability: 4.686235827167096e-06, Refund 119.733, Cost 0.0005610970742941978
Number: 90, Probability: 4.6892416782906565e-06, Refund 119.73, Cost 0.0005614429061417403
Number: 91, Probability: 4.692249394588899e-06, Refund 119.727, Cost 0.0005617889432659451
Number: 92, Probability: 4.6952589816129375e-06, Refund 119.724, Cost 0.0005621351863146273
Number: 93, Probability: 4.698270439362773e-06, Refund 119.721, Cost 0.0005624816352709505
Number: 94, Probability: 4.701283762287289e-06, Refund 119.718, Cost 0.0005628282894535097
Number: 95, Probability: 4.704298961488718e-06, Refund 119.715, Cost 0.0005631751501746218
Number: 96, Probability: 4.707316031415942e-06, Refund 119.712, Cost 0.0005635222167528653
Number: 97, Probability: 4.7103349720689636e-06, Refund 119.709, Cost 0.0005638694891714036
Number: 98, Probability: 4.713355788998896e-06, Refund 119.706, Cost 0.0005642169680779019
Number: 99, Probability: 4.716378476654626e-06, Refund 119.703, Cost 0.0005645646527909887
Number: 100, Probability: 4.719403046138382e-06, Refund 119.7, Cost 0.0005649125446227643
Number: 101, Probability: 4.7224294918990495e-06, Refund 119.697, Cost 0.0005652606428918405
